retriever,format,category,n,hit@1,hit@3,mrr
exact,sentence,abstract,10,0.0,0.0,0.074
exact,sentence,ambiguous_device,5,0.0,0.0,0.026
exact,sentence,ambiguous_instance,2,0.0,0.5,0.25
exact,sentence,ambiguous_location,6,0.0,0.0,0.075
exact,sentence,paraphrased,16,0.0,0.0,0.058
exact,sentence,synonym,11,0.0,0.0,0.079
exact,sentence,templated,11,0.909,1.0,0.955
tfidf,sentence,abstract,10,0.2,0.4,0.358
tfidf,sentence,ambiguous_device,5,0.4,0.8,0.606
tfidf,sentence,ambiguous_instance,2,0.0,0.5,0.229
tfidf,sentence,ambiguous_location,6,0.333,0.833,0.561
tfidf,sentence,paraphrased,16,0.188,0.625,0.426
tfidf,sentence,synonym,11,0.091,0.545,0.335
tfidf,sentence,templated,11,1.0,1.0,1.0
bm25,sentence,abstract,10,0.0,0.2,0.141
bm25,sentence,ambiguous_device,5,0.2,0.2,0.23
bm25,sentence,ambiguous_instance,2,0.0,0.5,0.238
bm25,sentence,ambiguous_location,6,0.0,0.167,0.194
bm25,sentence,paraphrased,16,0.125,0.188,0.212
bm25,sentence,synonym,11,0.091,0.182,0.207
bm25,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L6-v2,sentence,abstract,10,0.6,0.9,0.728
bi:all-MiniLM-L6-v2,sentence,ambiguous_device,5,0.6,0.8,0.725
bi:all-MiniLM-L6-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-MiniLM-L6-v2,sentence,ambiguous_location,6,0.667,0.833,0.778
bi:all-MiniLM-L6-v2,sentence,paraphrased,16,0.812,0.875,0.859
bi:all-MiniLM-L6-v2,sentence,synonym,11,0.545,1.0,0.773
bi:all-MiniLM-L6-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L12-v2,sentence,abstract,10,0.4,0.9,0.637
bi:all-MiniLM-L12-v2,sentence,ambiguous_device,5,0.8,0.8,0.825
bi:all-MiniLM-L12-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-MiniLM-L12-v2,sentence,ambiguous_location,6,0.333,0.833,0.597
bi:all-MiniLM-L12-v2,sentence,paraphrased,16,0.625,0.875,0.766
bi:all-MiniLM-L12-v2,sentence,synonym,11,0.364,0.909,0.636
bi:all-MiniLM-L12-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-MiniLM-L6-cos-v1,sentence,abstract,10,0.5,0.8,0.648
bi:multi-qa-MiniLM-L6-cos-v1,sentence,ambiguous_device,5,0.4,0.8,0.625
bi:multi-qa-MiniLM-L6-cos-v1,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:multi-qa-MiniLM-L6-cos-v1,sentence,ambiguous_location,6,0.333,0.833,0.611
bi:multi-qa-MiniLM-L6-cos-v1,sentence,paraphrased,16,0.625,0.875,0.762
bi:multi-qa-MiniLM-L6-cos-v1,sentence,synonym,11,0.545,0.818,0.712
bi:multi-qa-MiniLM-L6-cos-v1,sentence,templated,11,1.0,1.0,1.0
bi:all-mpnet-base-v2,sentence,abstract,10,0.4,0.7,0.58
bi:all-mpnet-base-v2,sentence,ambiguous_device,5,0.6,0.8,0.725
bi:all-mpnet-base-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-mpnet-base-v2,sentence,ambiguous_location,6,0.5,0.833,0.635
bi:all-mpnet-base-v2,sentence,paraphrased,16,0.625,0.75,0.716
bi:all-mpnet-base-v2,sentence,synonym,11,0.273,0.818,0.563
bi:all-mpnet-base-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-mpnet-base-dot-v1,sentence,abstract,10,0.6,0.8,0.723
bi:multi-qa-mpnet-base-dot-v1,sentence,ambiguous_device,5,0.4,0.8,0.6
bi:multi-qa-mpnet-base-dot-v1,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:multi-qa-mpnet-base-dot-v1,sentence,ambiguous_location,6,0.5,0.833,0.65
bi:multi-qa-mpnet-base-dot-v1,sentence,paraphrased,16,0.688,0.75,0.747
bi:multi-qa-mpnet-base-dot-v1,sentence,synonym,11,0.364,0.636,0.558
bi:multi-qa-mpnet-base-dot-v1,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,abstract,10,0.5,1.0,0.683
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_device,5,0.8,0.8,0.833
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_instance,2,0.0,0.5,0.375
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_location,6,0.5,0.833,0.656
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,paraphrased,16,0.625,0.938,0.755
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,synonym,11,0.818,0.909,0.886
bi:all-MiniLM-L6-v2+ms-marco-TinyBERT-L-2-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,abstract,10,0.6,0.9,0.742
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_device,5,0.4,0.8,0.625
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_location,6,0.333,0.667,0.575
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,paraphrased,16,0.438,1.0,0.719
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,synonym,11,0.636,0.909,0.784
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-6-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,abstract,10,0.6,0.9,0.748
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_device,5,0.6,0.8,0.715
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_location,6,0.333,0.833,0.6
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,paraphrased,16,0.5,0.938,0.731
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,synonym,11,0.727,0.909,0.841
bi:all-MiniLM-L6-v2+ms-marco-MiniLM-L-12-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,abstract,10,0.6,0.9,0.758
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_device,5,0.8,0.8,0.833
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_instance,2,0.0,0.5,0.292
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_location,6,0.667,0.833,0.739
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,paraphrased,16,0.625,0.938,0.755
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,synonym,11,0.818,1.0,0.894
bi:all-MiniLM-L12-v2+ms-marco-TinyBERT-L-2-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,abstract,10,0.7,0.9,0.808
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_device,5,0.4,0.8,0.625
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_location,6,0.333,0.667,0.575
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,paraphrased,16,0.438,1.0,0.719
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,synonym,11,0.727,0.909,0.83
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-6-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,abstract,10,0.8,0.9,0.864
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_device,5,0.6,0.8,0.722
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_location,6,0.333,0.833,0.579
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,paraphrased,16,0.5,0.938,0.731
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,synonym,11,0.727,0.909,0.841
bi:all-MiniLM-L12-v2+ms-marco-MiniLM-L-12-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,abstract,10,0.5,1.0,0.683
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_device,5,0.8,0.8,0.833
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_location,6,0.667,0.833,0.739
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,paraphrased,16,0.625,0.938,0.75
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,synonym,11,0.727,0.909,0.841
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-TinyBERT-L-2-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,abstract,10,0.6,0.9,0.74
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_device,5,0.4,0.8,0.625
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_location,6,0.333,0.667,0.575
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,paraphrased,16,0.438,1.0,0.719
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,synonym,11,0.636,0.909,0.784
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-6-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,abstract,10,0.6,0.9,0.748
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_device,5,0.6,0.8,0.722
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_location,6,0.333,0.833,0.576
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,paraphrased,16,0.5,0.938,0.731
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,synonym,11,0.727,0.909,0.841
bi:multi-qa-MiniLM-L6-cos-v1+ms-marco-MiniLM-L-12-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,abstract,10,0.6,1.0,0.75
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_device,5,0.8,0.8,0.813
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_instance,2,0.5,1.0,0.75
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_location,6,0.667,1.0,0.778
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,paraphrased,16,0.688,1.0,0.802
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,synonym,11,0.636,1.0,0.788
bi:all-mpnet-base-v2+ms-marco-TinyBERT-L-2-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,abstract,10,0.7,0.9,0.811
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_device,5,0.4,0.8,0.625
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_location,6,0.333,0.833,0.625
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,paraphrased,16,0.438,1.0,0.719
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,synonym,11,0.727,0.909,0.83
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-6-v2,sentence,templated,11,1.0,1.0,1.0
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,abstract,10,0.7,0.9,0.814
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_device,5,0.6,0.8,0.722
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_location,6,0.5,1.0,0.722
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,paraphrased,16,0.5,1.0,0.74
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,synonym,11,0.727,0.909,0.841
bi:all-mpnet-base-v2+ms-marco-MiniLM-L-12-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,abstract,10,0.5,0.9,0.664
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_device,5,0.8,0.8,0.8
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_instance,2,0.5,0.5,0.625
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,ambiguous_location,6,0.667,0.833,0.746
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,paraphrased,16,0.625,0.875,0.744
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,synonym,11,0.636,1.0,0.788
bi:multi-qa-mpnet-base-dot-v1+ms-marco-TinyBERT-L-2-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,abstract,10,0.6,0.9,0.742
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_device,5,0.4,0.8,0.6
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,ambiguous_location,6,0.333,0.833,0.625
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,paraphrased,16,0.438,1.0,0.719
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,synonym,11,0.636,0.909,0.784
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-6-v2,sentence,templated,11,1.0,1.0,1.0
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,abstract,10,0.6,0.9,0.748
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_device,5,0.6,0.8,0.7
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_instance,2,0.0,1.0,0.333
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,ambiguous_location,6,0.333,1.0,0.639
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,paraphrased,16,0.5,0.938,0.731
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,synonym,11,0.727,0.909,0.841
bi:multi-qa-mpnet-base-dot-v1+ms-marco-MiniLM-L-12-v2,sentence,templated,11,1.0,1.0,1.0
